slug,rank,name,symbol,logo,description,website,whitepaper,twitter,telegram,discord,explorer,confirmed
singularitydao,292,SingularityDAO,SDAO,"""singularitydao-logo.png""",,https://www.singularitydao.ai/,https://www.docs.singularitydao.ai,https://twitter.com/SingularityDao,https://t.me/SingDAO,,https://etherscan.io/token/0x993864e43caa7f7f12953ad6feb1d1ca635b875f,1
ampleforth,293,Ampleforth,AMPL,"""ampleforth-logo.png""",,https://www.ampleforth.org/,https://www.ampleforth.org/paper/,https://twitter.com/ampleforthorg,https://t.me/Ampleforth,,https://etherscan.io/token/0xd46ba6d942050d489dbd938a2c909a5d5039a161,1
hackenai,294,Hacken Token,HAI,"""hackenai-logo.png""",,https://hacken.ai,https://hacken.ai/tokenomics.pdf,https://twitter.com/hackenai,,https://discord.com/invite/hacken,https://etherscan.io/token/0x05Fb86775Fd5c16290f1E838F5caaa7342bD9a63,1
taraxa,295,Taraxa,TARA,"""taraxa-logo.png""",,https://www.taraxa.io/,https://docs.taraxa.io/,https://twitter.com/taraxa_project,,,https://etherscan.io/token/0xf001937650bb4f62b57521824b2c20f5b91bea05,1
unilend,296,UniLend,UFT,"""unilend-logo.png""",,https://unilend.finance/,https://unilend.finance/docs/unilend_lightpaper.pdf,https://twitter.com/UniLend_Finance,https://t.me/UniLendFinance,,https://etherscan.io/token/0x0202Be363B8a4820f3F4DE7FaF5224fF05943AB1,1
keep3rv1,297,Keep3rV1,KP3R,"""keep3rv1-logo.png""",,https://keep3r.network/,https://docs.keep3r.network/,https://twitter.com/thekeep3r,,,https://etherscan.io/token/0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44,1
tranchess,298,Tranchess,CHESS,"""tranchess-logo.png""",,https://tranchess.com/,https://docs.tranchess.com/whitepaper,https://twitter.com/tranchess,https://t.me/tranchess,,https://bscscan.com/token/0x20de22029ab63cf9A7Cf5fEB2b737Ca1eE4c82A6,1
stratos,299,Stratos,STOS,"""stratos-logo.png""",,https://www.thestratos.org/,https://www.thestratos.org/assets/pdf/stratos-whitepaper.pdf,https://twitter.com/Stratos_Network,https://t.me/StratosOfficial,https://discord.com/invite/tpQGpC2nMh,https://etherscan.io/token/0x08c32b0726C5684024ea6e141C50aDe9690bBdcc,1
akropolis,300,Akropolis,AKRO,"""akropolis-logo.png""",,https://akropolis.io/,https://wiki.akropolis.io/wp2019/,https://twitter.com/akropolisio,https://t.me/akropolis_official,,https://etherscan.io/token/0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,1
adx-net,301,AdEx,ADX,"""adx-net-logo.png""",,https://www.adex.network/,https://github.com/AmbireTech/adex-protocol,https://twitter.com/AdEx_Ads,https://t.me/AmbireOfficial,https://discord.com/invite/nMBGJsb,https://etherscan.io/token/0xADE00C28244d5CE17D72E40330B1c318cD12B7c3,1
paris-saint-germain-fan-token,302,Paris Saint-Germain Fan Token,PSG,"""paris-saint-germain-fan-token-logo.png""",,https://www.socios.com/paris-saint-germain/,,https://twitter.com/twitter,https://t.me/chiliztrade,,https://explorer.chiliz.com/tokens/0x6fc212cde3b420733a88496cbdbb15d85beab1ca/token_transfers,1
fox-token,303,FOX Token,FOX,"""fox-token-logo.png""",,,,,,,https://etherscan.io/token/0xc770eefad204b5180df6a14ee197d99d808ee52d,1
klever,304,Klever,KLV,"""klever-logo.png""",,https://klever.finance/,https://klever.finance/s/Klever-Blockchain-Whitepaper-v20-lr.pdf,https://twitter.com/klever_io,https://t.me/Klever_News,,https://tronscan.org/#/token20/TVj7RNVHy6thbM7BWdSe9G6gXwKhjhdNZS,1
parsiq,305,PARSIQ,PRQ,"""parsiq-logo.png""",,https://parsiq.net,http://www.parsiq.io/whitepaper.pdf,https://twitter.com/parsiq_net,https://t.me/parsiq_group,,https://etherscan.io/token/0x362bc847A3a9637d3af6624EeC853618a43ed7D2#balances,1
barnbridge,306,BarnBridge,BOND,"""barnbridge-logo.png""",,https://barnbridge.com/,,https://twitter.com/barn_bridge,,https://discord.com/invite/FfEhsVk,https://etherscan.io/token/0x0391D2021f89DC339F60Fff84546EA23E337750f,1
vite,307,VITE,VITE,"""vite-logo.png""",,https://www.vite.org/,https://vite.wiki,https://twitter.com/vitelabs,https://t.me/vite_en,,https://etherscan.io/token/0x1b793E49237758dBD8b752AFC9Eb4b329d5Da016,1
fio-protocol,308,FIO Protocol,FIO,"""fio-protocol-logo.png""",,https://fio.net/,https://developers.fioprotocol.io,https://twitter.com/joinFIO,https://t.me/joinFIO,,https://fio.bloks.io/,1
dock,309,Dock,DOCK,"""dock-logo.png""",,https://dock.io,https://docs.dock.io/,https://twitter.com/docknetwork,https://t.me/dockio,https://discord.com/invite/feW8KGf7r3,https://etherscan.io/token/0xe5dada80aa6477e85d09747f2842f7993d0df71c,1
kryll,310,Kryll,KRL,"""kryll-logo.png""",,https://kryll.io/,,https://twitter.com/kryll_io,https://t.me/kryll_io,,https://etherscan.io/token/0x464eBE77c293E473B48cFe96dDCf88fcF7bFDAC0,1
firo,311,Firo,FIRO,"""firo-logo.png""",,https://firo.org/,https://firo.org/about/tech/,https://twitter.com/firoorg,https://t.me/firoorg,https://discord.com/invite/TGZPRbRT3Y,https://explorer.firo.org/,1
hard-protocol,312,Kava Lend,HARD,"""hard-protocol-logo.png""",,https://kava.io/lend,https://medium.com/kava-labs/introducing-harvest-io-the-worlds-first-cross-chain-money-market-a27535a5d91a,https://twitter.com/hard_protocol,https://t.me/hard_protocol,,https://www.mintscan.io/kava,1
sentinel,313,Sentinel,DVPN,"""sentinel-logo.png""",,https://sentinel.co/,https://github.com/sentinel-official/sentinel/blob/master/README.md,https://twitter.com/SentinelVPN,https://t.me/sentinel_co,,https://etherscan.io/token/0xa44E5137293E855B1b7bC7E2C6f8cD796fFCB037,1
gifto,314,Gifto,GFT,"""base-logo.png""",,https://gifto.io/,https://h.cdn.pengpengla.com/giftoh5/website-new/1.1.1/assets/GIFTO_Whitepaper_EN.pdf,https://twitter.com/GiftoMetaverse,https://t.me/Gifto_Official,,https://etherscan.io/token/0xc5bbae50781be1669306b9e001eff57a2957b09d,1
suku,315,Suku,SUKU,"""suku-logo.png""",,https://www.suku.world/,,https://twitter.com/Suku_world,https://t.me/Suku_world,,https://etherscan.io/token/0x0763fdCCF1aE541A5961815C0872A8c5Bc6DE4d7,1
troy,316,TROY,TROY,"""troy-logo.png""",,https://troytrade.com/,,https://twitter.com/TROY_DAO,https://t.me/troytrade_official,,https://explorer.binance.org/asset/TROY-9B8,1
solanium,317,Solanium,SLIM,"""solanium-logo.png""",,https://www.solanium.io/,,https://twitter.com/solanium_io,https://t.me/solanium_io_chat,,https://explorer.solana.com/address/xxxxa1sKNGwFtw2kFn8XauW9xq8hBZ5kVtcSesTT9fW,1
nftx,318,NFTX,NFTX,"""nftx-logo.png""",,https://nftx.org/,,https://twitter.com/nftx_,,,https://etherscan.io/token/0x87d73E916D7057945c9BcD8cdd94e42A6F47f776,1
yearn-finance-ii,319,DFI.Money,YFII,"""yearn-finance-ii-logo.png""",,https://dfi.money/#/,,https://twitter.com/dfimoney,https://t.me/yfiifinance,,https://etherscan.io/token/0xa1d0E215a23d7030842FC67cE582a6aFa3CCaB83,1
voyager-token,320,Voyager Token,VGX,"""voyager-token-logo.png""",,https://www.investvoyager.com/,https://www.investvoyager.com/VoyagerToken/White_Paper.pdf,https://twitter.com/investvoyager,https://t.me/joinchat/H9SuYEmNirTJFHtMqtc70A,,https://etherscan.io/token/0x5af2be193a6abca9c8817001f45744777db30756,1
kardiachain,321,KardiaChain,KAI,"""kardiachain-logo.png""",,https://www.kardiachain.io/,https://dl.kardiachain.io/KardiaChain-WhitePaper-English.pdf,https://twitter.com/KardiaChain,https://t.me/kardiachain,,https://explorer.kardiachain.io/,1
ternoa,322,Ternoa,CAPS,"""ternoa-logo.png""",,https://www.ternoa.com/,https://github.com/capsule-corp-ternoa/white-paper/blob/main/white-paper-en.md,https://twitter.com/ternoa_,https://t.me/ternoadiscussions,,https://etherscan.io/token/0x03be5c903c727ee2c8c4e9bc0acc860cca4715e2,1
dvision-network,323,Dvision Network,DVI,"""dvision-network-logo.png""",,https://dvision.network/,,https://twitter.com/Dvision_network,https://t.me/dvision_network,,https://etherscan.io/token/0x10633216e7e8281e33c86f02bf8e565a635d9770,1
trustswap,324,TrustSwap,SWAP,"""trustswap-logo.png""",,https://trustswap.com/,,https://twitter.com/TrustSwap,https://t.me/TrustSwap,https://discord.com/invite/rAJPgrq,https://etherscan.io/token/0xcc4304a31d09258b0029ea7fe63d032f52e44efe,1
dforce,325,dForce,DF,"""dforce-logo.png""",,https://dforce.network/,https://github.com/dforce-network/documents/blob/master/white_papers/en/dForce_Whitepaper_V1.pdf,https://twitter.com/dForcenet,https://t.me/dforcenet,,https://etherscan.io/token/0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0,1
hathor,326,Hathor,HTR,"""hathor-logo.png""",,https://hathor.network,https://s3.amazonaws.com/hathor-public-files/hathor-white-paper.pdf,https://twitter.com/HathorNetwork,https://t.me/joinchat/EuErtxILeDefHbdD8pD0dw,,https://explorer.hathor.network/,1
oax,327,OAX,OAX,"""oax-logo.png""",,https://oax.org/,https://www.oax.org/assets/whitepaper/openANX_White_Paper_ENU.pdf,https://twitter.com/OAX_Foundation,https://t.me/openanxteam,,https://etherscan.io/token/0x701c244b988a513c945973defa05de933b23fe1d,1
yield-app,328,Yield App,YLD,"""yield-app-logo.png""",,https://www.yield.app/,https://assets.website-files.com/5f3b1e7e87a54051ee78b018/5fd3bd09f92c1825f6a7f37e_YIELD%20_%20Whitepaper%20_201211.pdf,https://twitter.com/YieldApp,https://t.me/yieldapp,,https://etherscan.io/token/0xF94b5C5651c888d928439aB6514B93944eEE6F48,1
metahero,329,Metahero,HERO,"""metahero-logo.png""",,https://metahero.io,https://www.metahero.io/whitepaper,https://twitter.com/metahero_io,https://t.me/metahero_io,,https://bscscan.com/token/0xD40bEDb44C081D2935eebA6eF5a3c8A31A1bBE13,1
the-force-protocol,330,ForTube,FOR,"""the-force-protocol-logo.png""",,https://for.tube/home,https://theforceprotocol.com/theforceprotocol_whitepaper.pdf,https://twitter.com/ForTubeFi,http://t.me/ForTubeFi,https://discord.com/invite/ywgjUmfvPS,https://etherscan.io/token/0x1fcdce58959f536621d76f5b7ffb955baa5a672f,1
ferrum-network,331,Ferrum Network,FRM,"""ferrum-network-logo.png""",,https://ferrum.network/,https://docs.ferrumnetwork.io/ferrum-network-ecosystem/,https://twitter.com/FerrumNetwork,https://t.me/ferrum_network,,https://etherscan.io/token/0xe5caef4af8780e59df925470b050fb23c43ca68c,1
deeper-network,332,Deeper Network,DPR,"""deeper-network-logo.png""",,https://www.deeper.network,https://deeper.network/whitepaper_en.pdf?1616235824088,https://twitter.com/deeper_network,https://t.me/DeeperNetwork,,https://etherscan.io/token/0xf3ae5d769e153ef72b4e3591ac004e89f48107a1,1
nimiq,333,Nimiq,NIM,"""nimiq-logo.png""",,https://nimiq.com/,https://nimiq.com/whitepaper,https://twitter.com/nimiq,https://t.me/nimiq,,https://nimiq.watch,1
epns,334,Push Protocol,PUSH,"""epns-logo.png""",,https://push.org/,https://push.org/docs,https://twitter.com/pushprotocol,https://t.me/epnsproject,https://discord.com/invite/pushprotocol,https://etherscan.io/token/0xf418588522d5dd018b425E472991E52EBBeEEEEE,1
solve,335,SOLVE,SOLVE,"""solve-logo.png""",,https://solve.care/,https://solve.care/wp-content/uploads/2018/09/lightpaper.pdf,https://twitter.com/solve_care,https://t.me/SolveCare,https://discord.com/invite/3b2gKaBAx3,https://etherscan.io/token/0x446c9033e7516d820cc9a2ce2d0b7328b579406f,1
augur,336,Augur,REP,"""augur-logo.png""",,http://www.augur.net/,,https://twitter.com/AugurProject,,,https://etherscan.io/token/0x1985365e9f78359a9B6AD760e32412f4a445E862,1
hapi-one,337,HAPI Protocol,HAPI,"""hapi-one-logo.png""",,https://hapi.one/,https://hapi-one.gitbook.io/hapi-protocol/,https://twitter.com/i_am_hapi_one,https://t.me/hapiHF,,https://etherscan.io/token/0xd9c2d319cd7e6177336b0a9c93c21cb48d84fb54,1
everest,338,Everest,ID,"""everest-logo.png""",,https://everestfoundation.net/,https://medium.com/everest-foundation/empowering-the-next-generation-economy-93f1022c47dd,https://twitter.com/EverestDotOrg,https://t.me/Everestdotorg,,https://etherscan.io/token/0xebd9d99a3982d547c5bb4db7e3b1f9f14b67eb83,1
powerpool,339,PowerPool,CVP,"""powerpool-logo.png""",,https://powerpool.finance/,https://docs.powerpool.finance/powerpool-and-poweragent-network/powerpool-overview/powerpool,https://twitter.com/powerpoolcvp,https://t.me/PowerPoolGlobal,,https://etherscan.io/token/0x38e4adB44ef08F22F5B5b76A8f0c2d0dCbE7DcA1,1
hydra,340,Hydra,HYDRA,"""hydra-logo.png""",,https://hydrachain.org/,https://blockchain.locktrip.com/Hydra%20Chain%20Whitepaper.pdf,https://twitter.com/hydra_chain,https://t.me/hydrachain,,https://explorer.hydrachain.org/,1
burger-swap,341,BurgerCities,BURGER,"""burger-swap-logo.png""",,http://app.burgercities.org/,https://burgerswap.gitbook.io/burgercities/,https://twitter.com/BurgerCitiesBar,https://t.me/burgercities,https://discord.com/invite/TmwJfQNzpF,https://www.bscscan.com/token/0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,1
realio-network,342,Realio Network,RIO,"""realio-network-logo.png""",,http://www.realio.fund/,,https://twitter.com/realio_network,https://t.me/realio_fund,,,1
energi,343,Energi,NRG,"""energi-logo.png""",,https://energi.world/,https://www.energi.world/whitepaper/,https://twitter.com/energi,https://t.me/energicrypto,,https://explore.energi.network/,1
revv,344,REVV,REVV,"""revv-logo.png""",,https://motorverse.com/,https://www.revvmotorsport.com/REVV-Motorsport-Lightpaperv1.1.pdf,https://twitter.com/revv_token,https://t.me/REVVCommunity,https://discord.com/invite/motorverse,https://etherscan.io/token/0x557b933a7c2c45672b610f8954a3deb39a51a8ca,1
amber,345,Ambrosus,AMB,"""amber-logo.png""",,,,,,,https://etherscan.io/token/0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,1
lambda,346,Lambda,LAMB,"""lambda-logo.png""",,https://www.lambda.im/,https://www.lambda.im/doc/Lambda-Economic-White-Paper.pdf,https://twitter.com/Lambdaim,https://t.me/HelloLambda,,https://explorer.binance.org/asset/LAMB-46C,1
serum,347,Serum,SRM,"""serum-logo.png""",,https://portal.projectserum.com/,https://docs.projectserum.com/,https://twitter.com/projectserum,https://t.me/ProjectSerum,,https://etherscan.io/token/0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,1
zkswap,348,ZKBase,ZKB,"""base-logo.png""",,https://zkbase.org/,https://github.com/l2labs/zkspace-whitepaper,https://twitter.com/ZKSpaceOfficial,https://t.me/ZKSpaceOfficial,,https://etherscan.io/token/0xe4815ae53b124e7263f08dcdbbb757d41ed658c6,1
apenft,349,APENFT,NFT,"""apenft-logo.png""",,http://apenft.org/,https://foundation.apenft.io/book/APENFT%20White%20Paper.pdf,https://twitter.com/apenftorg,https://t.me/apenftEN,,https://tronscan.org/#/token20/TFczxzPhnThNSqr5by8tvxsdCFRRz6cPNq,1
bitkan,350,BitKan,KAN,"""bitkan-logo.png""",,https://bitkan.com/,,https://twitter.com/BitKanOfficial,http://t.me/BitKan,,https://etherscan.io/token/0x1410434b0346f5be678d0fb554e5c7ab620f8f4a,1
lithium,351,Lithium,LITH,"""lithium-logo.png""",,https://lith.finance/,https://docs.lith.finance/overview/what-is-lithium-finance,https://twitter.com/lithiumfinance,,,https://etherscan.io/token/0x188e817b02e635d482ae4d81e25dda98a97c4a42,1
pluton,352,Pluton,PLU,"""pluton-logo.png""",,https://plutus.it/,https://plutus.it/assets/Plutus.it-White-Paper-v1.1.pdf,https://twitter.com/plutus,,,https://etherscan.io/token/Pluton,1
openocean,353,OpenOcean,OOE,"""openocean-logo.png""",,https://openocean.finance/,https://docs.openocean.finance/,https://twitter.com/OpenOceanGlobal,https://t.me/OOFinance,,https://bscscan.com/token/0x9029fdfae9a03135846381c7ce16595c3554e10a,1
divi,354,Divi,DIVI,"""divi-logo.png""",,https://www.diviproject.org/,https://wiki.diviproject.org/#whitepaper,https://twitter.com/DiviProject,,,https://etherscan.io/token/0x13f11c9905a08ca76e3e853be63d4f0944326c72,1
bosagora,355,BOSagora,BOA,"""bosagora-logo.png""",,https://www.bosagora.io/,https://www.bosagora.io/files/BOSAGORA_Whitepaper_EN_Nov_2022.pdf,https://twitter.com/BOSAGORA1,https://t.me/bosagora_korea,,https://etherscan.io/token/0x746dda2ea243400d5a63e0700f190ab79f06489e,1
lossless,356,Lossless,LSS,"""lossless-logo.png""",,https://lossless.io,https://lossless-cash.gitbook.io/lossless/,https://twitter.com/losslessdefi,https://t.me/losslessann,,https://etherscan.io/token/0x3b9be07d622accaed78f479bc0edabfd6397e320,1
smartkey,357,Skey Network,SKEY,"""smartkey-logo.png""",,https://skey.network/,https://skey.network/white-papers/SkeyNetwork-WP-EN-LATEST.pdf,https://twitter.com/SkeyNetwork,https://t.me/SkeyNetworkChat,,https://etherscan.io/token/0x06A01a4d579479Dd5D884EBf61A31727A3d8D442,1
sharetoken,358,ShareToken,SHR,"""sharetoken-logo.png""",,https://sharering.network/,https://sharering.network/public/sharetoken-whitepaper-en-web-v1.2.pdf,https://twitter.com/ShareRingGlobal,https://t.me/ShareRing_Announcements,,https://explorer.binance.org/asset/SHR-DB6,1
redfox-labs,359,RFOX,RFOX,"""redfox-labs-logo.png""",,https://rfox.com,https://docsend.com/view/a2kfkrmgcmwvs2rq,https://twitter.com/RFOX_Official,https://t.me/rfox,,https://etherscan.io/token/0xa1d6df714f91debf4e0802a542e13067f31b8262,1
presearch,360,Presearch,PRE,"""presearch-logo.png""",,https://www.presearch.io/,https://www.presearch.io/vision.pdf,https://twitter.com/presearchnews,https://t.me/presearch,,https://etherscan.io/token/0x88a3e4f35d64aad41a6d4030ac9afe4356cb84fa,1
nest-protocol,361,NEST Protocol,NEST,"""nest-protocol-logo.png""",,https://nestprotocol.org/,https://www.nestprotocol.org/doc/ennestwhitepaper.pdf,https://twitter.com/nest_protocol,https://t.me/nest_chat,,https://etherscan.io/token/0x04abeda201850ac0124161f037efd70c74ddc74c,1
mahadao,362,MahaDAO,MAHA,"""mahadao-logo.png""",,https://mahadao.com/,https://mahadao.com/ARTH%20Whitepaper%20-%201.1.0%20Draft.pdf,https://twitter.com/TheMahaDAO,https://t.me/MahaDAO,,https://etherscan.io/token/0xb4d930279552397bba2ee473229f89ec245bc365,1
efforce,363,Efforce,WOZX,"""efforce-logo.png""",,https://www.efforce.io,https://efforce.io/WP_ENG_V1.pdf,https://twitter.com/efforceofficial,https://t.me/EFFORCE_ICO,,https://etherscan.io/token/0x34950ff2b487d9e5282c5ab342d08a2f712eb79f,1
umbrella-network,364,Umbrella Network,UMB,"""umbrella-network-logo.png""",,https://www.umb.network/,https://www.umb.network/wp-content/uploads/2021/02/umb_litepaper_design_v3.1.pdf,https://twitter.com/UmbNetwork,https://t.me/umbrellanet,,https://etherscan.io/token/0x6fc13eace26590b80cccab1ba5d51890577d83b2,1
dad,365,DAD,DAD,"""dad-logo.png""",,https://dad.one/,https://dad.one/file/DAD_whitepaper.pdf?v=1.2,https://twitter.com/Dad_Chain,https://t.me/dad_official,,https://etherscan.io/token/0x5b322514ff727253292637d9054301600c2c81e8,1
sylo,366,Sylo,SYLO,"""sylo-logo.png""",,https://www.sylo.io,https://www.sylo.io/whitepaper/,https://twitter.com/sylo,https://t.me/sylo_io,,https://etherscan.io/token/0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4,1
electric-vehicle-zone,367,Electric Vehicle Zone,EVZ,"""electric-vehicle-zone-logo.png""",,https://www.evzlife.com/,https://www.evzlife.com/EVZ_WhitePaper_Eng.pdf,,https://t.me/evzglobal,,https://etherscan.io/token/0x7a939bb714fd2a48ebeb1e495aa9aaa74ba9fa68,1
dotmoovs,368,Dotmoovs,MOOV,"""dotmoovs-logo.png""",,https://www.dotmoovs.com/,https://docsend.com/view/pjamgzxazgmbwt24,https://twitter.com/dotmoovs,https://t.me/dotmoovs,,https://etherscan.io/token/0x24ec2ca132abf8f6f8a6e24a1b97943e31f256a7,1
dafi-protocol,369,DAFI Protocol,DAFI,"""dafi-protocol-logo.png""",,https://www.dafiprotocol.io/,https://dafiprotocol.io/litepaper,,https://t.me/dafiprotocol,,https://etherscan.io/token/0xfc979087305a826c2b2a0056cfaba50aad3e6439,1
julswap,370,JulSwap,JULD,"""julswap-logo.png""",,https://julswap.com,https://docs.julswap.com,https://twitter.com/julswap,https://t.me/julswap,,https://bscscan.com/token/0x5a41f637c3f7553dba6ddc2d3ca92641096577ea,1
monsta-infinite,371,Monsta Infinite,MONI,"""monsta-infinite-logo.png""",,https://monstainfinite.com/,,https://twitter.com/Monsta_Infinite,https://t.me/monstainfinite,,https://bscscan.com/token/0x9573c88ae3e37508f87649f87c4dd5373c9f31e0,1
small-love-potion,372,Small Love Potion,SLP,"""small-love-potion-logo.png""",,,,,,,https://etherscan.io/token/0x37236cd05b34cc79d3715af2383e96dd7443dcf1,1
v-systems,373,v.systems,VSYS,"""v-systems-logo.png""",,https://www.v.systems/,https://v.systems/pdf/sposwhitepaper.pdf,https://twitter.com/VSYSCoin,https://t.me/VSYSOfficialGroup,,https://explorer.v.systems/,1
unilayer,374,UniLayer,LAYER,"""unilayer-logo.png""",,https://unilayer.com/,,https://twitter.com/unilayer_,https://t.me/Unilayer,,https://etherscan.io/token/0x0fF6ffcFDa92c53F615a4A75D982f399C989366b,1
free-coin,375,FREEdom Coin,FREE,"""free-coin-logo.png""",,https://freedom-coin.com/,,https://twitter.com/THE_FREE_COIN,https://t.me/FREEcoinGlobal,,https://etherscan.io/token/0x2f141ce366a2462f02cea3d12cf93e4dca49e4fd,1
crowns,376,Seascape Crowns,CWS,"""crowns-logo.png""",,https://www.seascape.network/,https://f2be4719-641d-430b-92d5-747132d8c9bd.filesusr.com/ugd/061436_2d3e0cc2c8cc41a0a42e3cc2d57c7e3e.pdf,https://twitter.com/seascapenetwork,https://t.me/seascapenetwork,https://discord.com/invite/qG2Vynh,https://etherscan.io/token/0xac0104cca91d167873b8601d2e71eb3d4d8c33e0,1
oneledger,377,OneLedger,OLT,"""oneledger-logo.png""",,https://oneledger.io/,https://docs.oneledger.io/,https://twitter.com/OneLedgerTech,https://t.me/oneledger,,https://etherscan.io/token/0x64a60493d888728cf42616e034a0dfeae38efcf0,1
zeroswap,378,ZeroSwap,ZEE,"""zeroswap-logo.png""",,https://zeroswap.io/,,https://twitter.com/ZeroSwapLabs,https://t.me/zeroswap,,https://etherscan.io/token/0x2eDf094dB69d6Dcd487f1B3dB9febE2eeC0dd4c5,1
crust,379,Crust,CRU,"""crust-logo.png""",,,,,,,https://etherscan.io/token/0x32a7c02e79c4ea1008dd6564b35f131428673c41,1
flux,380,Datamine FLUX,FLUX,"""flux-logo.png""",,,,,,,https://explorer.zel.cash/,1
alpaca-finance,381,Alpaca Finance,ALPACA,"""alpaca-finance-logo.png""",,https://www.alpacafinance.org/,https://docs.alpacafinance.org/,https://twitter.com/AlpacaFinance,https://t.me/alpacafinance,,https://bscscan.com/token/0x8f0528ce5ef7b51152a59745befdd91d97091d2f,1
unmarshal-token,382,UnMarshal,MARSH,"""unmarshal-token-logo.png""",,https://unmarshal.io/,https://docs.unmarshal.io/,https://twitter.com/unmarshal,https://t.me/Unmarshal_Chat,,https://etherscan.io/token/0x5a666c7d92E5fA7Edcb6390E4efD6d0CDd69cF37,1
pax-gold,383,PAX Gold,PAXG,"""pax-gold-logo.png""",,https://www.paxos.com/paxgold/,https://www.paxos.com/pax-gold-whitepaper,https://twitter.com/paxosglobal,,,https://etherscan.io/token/0x45804880de22913dafe09f4980848ece6ecbaf78,1
folmcoin,384,FolmCoin,FLM,"""folmcoin-logo.png""",,,,,,,https://explorer.folm.io/,1
maps,385,MAPS,MAPS,"""maps-logo.png""",,https://maps.me/token/,https://maps.me/token/MAPS.pdf,https://twitter.com/MAPS_ME,https://t.me/Maps_Official,,https://etherscan.io/token/0x2b915b505c017abb1547aa5ab355fbe69865cc6d,1
kira-network,386,KIRA,KEX,"""kira-network-logo.png""",,https://kira.network/,https://docs.kira.network/,https://twitter.com/Kira_Official,,,https://etherscan.io/token/0x16980b3b4a3f9d89e33311b5aa8f80303e5ca4f8,1
vai,387,Vai,VAI,"""vai-logo.png""",,https://venus.io,https://venus.io/Whitepaper.pdf,https://twitter.com/VenusProtocol,https://t.me/VenusProtocol,,https://bscscan.com/token/0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,1
hyve,388,Hyve,HYVE,"""hyve-logo.png""",,https://hyve.works,https://hyve.works/static/media/whitepaper.cf4ae242.pdf,https://twitter.com/join_hyve,https://t.me/hyveworks,https://discord.com/invite/hyveworks,https://etherscan.io/token/0xd794DD1CAda4cf79C9EebaAb8327a1B0507ef7d4,1
alchemy-pay,389,Alchemy Pay,ACH,"""alchemy-pay-logo.png""",,https://alchemypay.org/,https://file.alchemytech.io/Alchemy_WP-EN.pdf,https://twitter.com/AlchemyPay,https://t.me/alchemy_official,,https://etherscan.io/token/0xed04915c23f00a313a544955524eb7dbd823143d,1
refinable,390,Refinable,FINE,"""refinable-logo.png""",,https://refinable.com/,https://refinable.com/wp-content/uploads/2021/04/Refinable-whitepaper-editable-Apr.pdf,https://twitter.com/refinableapp,https://t.me/refinableapp,,https://bscscan.com/token/0x4e6415a5727ea08aae4580057187923aec331227,1
hedget,391,Hedget,HGET,"""hedget-logo.png""",,https://www.hedget.com/,https://www.hedget.com/papers/hedget_whitepaper_eng.pdf,https://twitter.com/team_hedget,https://t.me/hedgetofficial,,https://etherscan.io/token/0x7968bc6a03017ea2de509aaa816f163db0f35148,1
curate,392,Curate,XCUR,"""curate-logo.png""",,https://curate.style/,https://curate.style/whitepaper.pdf,https://twitter.com/curateproject,https://t.me/curate,,https://etherscan.io/token/0xE1c7E30C42C24582888C758984f6e382096786bd,1
quickswap,393,QuickSwap [Old],QUICK,"""quickswap-logo.png""",,https://quickswap.exchange/,https://quickswap-layer2.medium.com/,https://twitter.com/QuickswapDEX,https://t.me/QuickSwapDEX,,https://etherscan.io/token/0x6c28aef8977c9b773996d0e8376d2ee379446f2f,1
liquity,394,Liquity,LQTY,"""liquity-logo.png""",,https://www.liquity.org/,https://docsend.com/view/bwiczmy,https://twitter.com/LiquityProtocol,,https://discord.com/invite/2up5U32,https://etherscan.io/token/0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,1
terra-luna,395,Terra Classic,LUNC,"""base-logo.png""",,https://terra.money/,https://docs.terra.money/,https://twitter.com/terra_money,https://t.me/TerraLunaChat,,https://finder.terra.money/,1
bakerytoken,396,BakeryToken,BAKE,"""bakerytoken-logo.png""",,https://www.bakeryswap.org/,,https://twitter.com/bakery_swap,https://t.me/bakeryswap,,https://bscscan.com/token/0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,1
binaryx,397,BinaryX (old),BNX,"""binaryx-logo.png""",,https://www.binaryx.pro?cmc,,https://twitter.com/binary_x,https://t.me/binaryxGlobal,,https://bscscan.com/token/0x8c851d1a123ff703bd1f9dabe631b69902df5f97,1
spell-token,398,Spell Token,SPELL,"""spell-token-logo.png""",,https://abracadabra.money/,https://docs.abracadabra.money/,https://twitter.com/MIM_Spell,,https://discord.com/invite/mim,https://etherscan.io/token/0x090185f2135308bad17527004364ebcc2d37e5f6,1
xcad-network,399,XCAD Network,XCAD,"""xcad-network-logo.png""",,https://xcadnetwork.com/,,https://twitter.com/XcademyOfficial,https://t.me/xcademy,,https://etherscan.io/token/0x7659ce147d0e714454073a5dd7003544234b6aa0,1
